Zone Timestep,Environment:Site Outdoor Air Drybulb Temperature[C]
2009-Jan-04 18:10:00,4.366666666666667
2009-Jan-04 18:20:00,4.333333333333334
2009-Jan-04 18:30:00,4.300000000000001
2009-Jan-04 18:40:00,4.266666666666667
2009-Jan-04 18:50:00,4.233333333333333
2009-Jan-04 19:00:00,4.2
2009-Jan-04 19:10:00,4.166666666666667
2009-Jan-04 19:20:00,4.133333333333334
2009-Jan-04 19:30:00,4.1
2009-Jan-04 19:40:00,4.066666666666666
2009-Jan-04 19:50:00,4.033333333333333
2009-Jan-04 20:00:00,4.0
2009-Jan-04 20:10:00,3.966666666666667
2009-Jan-04 20:20:00,3.9333333333333336
2009-Jan-04 20:30:00,3.9
2009-Jan-04 20:40:00,3.8666666666666667
2009-Jan-04 20:50:00,3.833333333333333
2009-Jan-04 21:00:00,3.8
2009-Jan-04 21:10:00,3.8
2009-Jan-04 21:20:00,3.8000000000000003
2009-Jan-04 21:30:00,3.8
2009-Jan-04 21:40:00,3.8
2009-Jan-04 21:50:00,3.8
2009-Jan-04 22:00:00,3.8
2009-Jan-04 22:10:00,3.6999999999999997
2009-Jan-04 22:20:00,3.6000000000000005
2009-Jan-04 22:30:00,3.5
2009-Jan-04 22:40:00,3.4000000000000004
2009-Jan-04 22:50:00,3.3000000000000003
2009-Jan-04 23:00:00,3.2
2009-Jan-04 23:10:00,3.166666666666667
2009-Jan-04 23:20:00,3.1333333333333337
2009-Jan-04 23:30:00,3.1
2009-Jan-04 23:40:00,3.066666666666667
2009-Jan-04 23:50:00,3.033333333333333
2009-Jan-05 00:00:00,3.0
2009-Jan-05 00:10:00,3.0
2009-Jan-05 00:20:00,3.0
2009-Jan-05 00:30:00,3.0
2009-Jan-05 00:40:00,3.0
2009-Jan-05 00:50:00,3.0
2009-Jan-05 01:00:00,3.0
2009-Jan-05 01:10:00,3.0
2009-Jan-05 01:20:00,3.0
2009-Jan-05 01:30:00,3.0
2009-Jan-05 01:40:00,3.0
2009-Jan-05 01:50:00,3.0
2009-Jan-05 02:00:00,3.0
2009-Jan-05 02:10:00,2.9166666666666665
2009-Jan-05 02:20:00,2.833333333333333
2009-Jan-05 02:30:00,2.75
2009-Jan-05 02:40:00,2.6666666666666665
2009-Jan-05 02:50:00,2.5833333333333335
2009-Jan-05 03:00:00,2.5
2009-Jan-05 03:10:00,2.3833333333333333
2009-Jan-05 03:20:00,2.266666666666667
2009-Jan-05 03:30:00,2.15
2009-Jan-05 03:40:00,2.033333333333333
2009-Jan-05 03:50:00,1.9166666666666665
2009-Jan-05 04:00:00,1.8
2009-Jan-05 04:10:00,1.7
2009-Jan-05 04:20:00,1.6
2009-Jan-05 04:30:00,1.5
2009-Jan-05 04:40:00,1.4
2009-Jan-05 04:50:00,1.2999999999999998
2009-Jan-05 05:00:00,1.2
2009-Jan-05 05:10:00,1.1666666666666667
2009-Jan-05 05:20:00,1.1333333333333333
2009-Jan-05 05:30:00,1.1
2009-Jan-05 05:40:00,1.0666666666666667
2009-Jan-05 05:50:00,1.0333333333333332
2009-Jan-05 06:00:00,1.0
2009-Jan-05 06:10:00,1.05
2009-Jan-05 06:20:00,1.1
2009-Jan-05 06:30:00,1.15
2009-Jan-05 06:40:00,1.2000000000000002
2009-Jan-05 06:50:00,1.25
2009-Jan-05 07:00:00,1.3
2009-Jan-05 07:10:00,1.2666666666666668
2009-Jan-05 07:20:00,1.2333333333333334
2009-Jan-05 07:30:00,1.2000000000000002
2009-Jan-05 07:40:00,1.1666666666666667
2009-Jan-05 07:50:00,1.1333333333333333
2009-Jan-05 08:00:00,1.1
2009-Jan-05 08:10:00,1.1666666666666667
2009-Jan-05 08:20:00,1.2333333333333334
2009-Jan-05 08:30:00,1.3
2009-Jan-05 08:40:00,1.3666666666666667
2009-Jan-05 08:50:00,1.4333333333333333
2009-Jan-05 09:00:00,1.5
2009-Jan-05 09:10:00,1.4666666666666668
2009-Jan-05 09:20:00,1.4333333333333333
2009-Jan-05 09:30:00,1.4
2009-Jan-05 09:40:00,1.3666666666666667
2009-Jan-05 09:50:00,1.3333333333333335
2009-Jan-05 10:00:00,1.3
2009-Jan-05 10:10:00,1.35
2009-Jan-05 10:20:00,1.4000000000000001
2009-Jan-05 10:30:00,1.4500000000000002
2009-Jan-05 10:40:00,1.5
